Kazakhstan - Capital: Astana - Population: 15340000 - Area (km2): 2717300.0
Kenya - Capital: Nairobi - Population: 40046566 - Area (km2): 582650.0
Kiribati - Capital: Tarawa - Population: 92533 - Area (km2): 811.0
Kosovo - Capital: Pristina - Population: 1800000 - Area (km2): 10908.0
Kuwait - Capital: Kuwait City - Population: 2789132 - Area (km2): 17820.0
Kyrgyzstan - Capital: Bishkek - Population: 5776500 - Area (km2): 198500.0
Laos - Capital: Vientiane - Population: 6368162 - Area (km2): 236800.0
Latvia - Capital: Riga - Population: 2217969 - Area (km2): 64589.0
Lebanon - Capital: Beirut - Population: 4125247 - Area (km2): 10400.0
Lesotho - Capital: Maseru - Population: 1919552 - Area (km2): 30355.0
Liberia - Capital: Monrovia - Population: 3685076 - Area (km2): 111370.0
Libya - Capital: Tripoli - Population: 6461454 - Area (km2): 1759540.0
Liechtenstein - Capital: Vaduz - Population: 35000 - Area (km2): 160.0
Lithuania - Capital: Vilnius - Population: 2944459 - Area (km2): 65200.0
Luxembourg - Capital: Luxembourg - Population: 497538 - Area (km2): 2586.0
Macao - Capital: Macao - Population: 449198 - Area (km2): 254.0
Macedonia - Capital: Skopje - Population: 2062294 - Area (km2): 25333.0
Madagascar - Capital: Antananarivo - Population: 21281844 - Area (km2): 587040.0
Malawi - Capital: Lilongwe - Population: 15447500 - Area (km2): 118480.0
Malaysia - Capital: Kuala Lumpur - Population: 28274729 - Area (km2): 329750.0
Maldives - Capital: Malé - Population: 395650 - Area (km2): 300.0
Mali - Capital: Bamako - Population: 13796354 - Area (km2): 1240000.0
Malta - Capital: Valletta - Population: 403000 - Area (km2): 316.0
Marshall Islands - Capital: Majuro - Population: 65859 - Area (km2): 181.3
Martinique - Capital: Fort-de-France - Population: 432900 - Area (km2): 1100.0
Mauritania - Capital: Nouakchott - Population: 3205060 - Area (km2): 1030700.0
Mauritius - Capital: Port Louis - Population: 1294104 - Area (km2): 2040.0
Mayotte - Capital: Mamoudzou - Population: 159042 - Area (km2): 374.0
Mexico - Capital: Mexico City - Population: 112468855 - Area (km2): 1972550.0
Micronesia - Capital: Palikir - Population: 107708 - Area (km2): 702.0
Moldova - Capital: Chişinău - Population: 4324000 - Area (km2): 33843.0
Monaco - Capital: Monaco - Population: 32965 - Area (km2): 1.95
Mongolia - Capital: Ulan Bator - Population: 3086918 - Area (km2): 1565000.0
Montenegro - Capital: Podgorica - Population: 666730 - Area (km2): 14026.0
Montserrat - Capital: Plymouth - Population: 9341 - Area (km2): 102.0
Morocco - Capital: Rabat - Population: 31627428 - Area (km2): 446550.0
Mozambique - Capital: Maputo - Population: 22061451 - Area (km2): 801590.0
Myanmar [Burma] - Capital: Naypyitaw - Population: 53414374 - Area (km2): 678500.0
Namibia - Capital: Windhoek - Population: 2128471 - Area (km2): 825418.0
Nauru - Capital: Yaren - Population: 10065 - Area (km2): 21.0
Nepal - Capital: Kathmandu - Population: 28951852 - Area (km2): 140800.0
Netherlands - Capital: Amsterdam - Population: 16645000 - Area (km2): 41526.0
New Caledonia - Capital: Noumea - Population: 216494 - Area (km2): 19060.0
